trajectory_id,experiment_id,time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_mps,kinetic_j,rotational_j,total_energy_j,omega_x_radps,omega_y_radps,omega_z_radps,source_trajectory_id,segment_id,segment_index,raw_z_m,z_offset_applied_m
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.115,2793260.98524,1180275.43136,2380.56404084,1.17599999905,-4.33600000013,-5.3619,6.99527294742,5138.05357893,305.43741333,5443.49099226,8.13435923354,-0.236488704799,0.694552412293,RF16W200r1,RF16W200r1_seg00,0,2380.29825012,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.12,2793260.99112,1180275.40968,2380.53710872,1.17599999905,-4.33600000013,-5.41095,7.03294048754,5193.53644964,305.261202516,5498.79765216,8.13222870467,-0.230097118183,0.692421883421,RF16W200r1,RF16W200r1_seg00,0,2380.271318,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.125,2793260.997,1180275.388,2380.50993134,1.17599999905,-4.33600000013,-5.46,7.07074762658,5249.52455988,305.046309982,5554.57086986,8.13009817579,-0.219444473823,0.68176923906,RF16W200r1,RF16W200r1_seg00,0,2380.24414062,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.13,2793261.00288,1180275.36632,2380.48250872,1.17599999905,-4.33600000013,-5.50905,7.10869213719,5306.01790964,305.353608149,5611.37151779,8.13435923354,-0.21731394495,0.679638710188,RF16W200r1,RF16W200r1_seg00,0,2380.216718,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.135,2793261.00876,1180275.34464,2380.45484084,1.17599999905,-4.33600000013,-5.5581,7.14677183131,5363.01649893,305.482733273,5668.4992322,8.13648976241,-0.213052887206,0.673247123572,RF16W200r1,RF16W200r1_seg00,0,2380.18905012,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.14,2793261.01464,1180275.32296,2380.42692772,1.17599999905,-4.33600000013,-5.60715,7.18498455958,5420.52032774,305.281333998,5725.80166174,8.13435923354,-0.198139185102,0.666855536956,RF16W200r1,RF16W200r1_seg00,0,2380.161137,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.145,2793261.02052,1180275.30128,2380.39876934,1.17599999905,-4.33600000013,-5.6562,7.22332821066,5478.52939608,305.427605829,5783.95700191,8.13648976241,-0.193878127358,0.664725008084,RF16W200r1,RF16W200r1_seg00,0,2380.13297862,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.15,2793261.0264,1180275.2796,2380.37036572,1.17599999905,-4.33600000013,-5.70525,7.26180071066,5537.04370394,305.551052735,5842.59475668,8.13862029128,-0.183225482997,0.658333421468,RF16W200r1,RF16W200r1_seg00,0,2380.104575,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.155,2793261.03228,1180275.25792,2380.34171684,1.17599999905,-4.33600000013,-5.7543,7.30040002252,5596.06325133,305.369142855,5901.43239418,8.13648976241,-0.176833896381,0.654072363723,RF16W200r1,RF16W200r1_seg00,0,2380.07592613,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.16,2793261.03816,1180275.23624,2380.31282272,1.17599999905,-4.33600000013,-5.80335,7.33912414538,5655.58803824,305.635505216,5961.22354346,8.14075082015,-0.164050723149,0.643419719363,RF16W200r1,RF16W200r1_seg00,0,2380.047032,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.165,2793261.04404,1180275.21456,2380.28368334,1.17599999905,-4.33600000013,-5.8524,7.37797111399,5715.61806468,304.996588177,6020.61465286,8.13222870467,-0.161920194277,0.643419719363,RF16W200r1,RF16W200r1_seg00,0,2380.01789263,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.17,2793261.04992,1180275.19288,2380.25429872,1.17599999905,-4.33600000013,-5.90145,7.41693899809,5776.15333064,305.448954258,6081.6022849,8.13862029128,-0.151267549917,0.639158661619,RF16W200r1,RF16W200r1_seg00,0,2379.988508,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.175,2793261.0558,1180275.1712,2380.22466884,1.17599999905,-4.33600000013,-5.9505,7.45602590184,5837.19383613,305.591517919,6142.78535405,8.14075082015,-0.140614905556,0.637028132747,RF16W200r1,RF16W200r1_seg00,0,2379.95887812,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.18,2793261.06168,1180275.14952,2380.19479372,1.17599999905,-4.33600000013,-5.99955,7.49522996321,5898.73958114,305.544612034,6204.28419318,8.14075082015,-0.129962261196,0.626375488387,RF16W200r1,RF16W200r1_seg00,0,2379.929003,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.185,2793261.06756,1180275.12784,2380.16467334,1.17599999905,-4.33600000013,-6.0486,7.5345493534,5960.79056568,305.700820095,6266.49138577,8.14288134903,-0.125701203452,0.626375488387,RF16W200r1,RF16W200r1_seg00,0,2379.89888263,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.19,2793261.07344,1180275.10616,2380.13430772,1.17599999905,-4.33600000013,-6.09765,7.57398227628,6023.34678974,305.825864408,6329.17265415,8.1450118779,-0.108656972475,0.61998390177,RF16W200r1,RF16W200r1_seg00,0,2379.868517,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.195,2793261.07932,1180275.08448,2380.10369684,1.17599999905,-4.33600000013,-6.1467,7.61352696776,6086.40825333,305.821994673,6392.230248,8.1450118779,-0.102265385859,0.61998390177,RF16W200r1,RF16W200r1_seg00,0,2379.83790612,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.2,2793261.0852,1180275.0628,2380.07284072,1.17599999905,-4.33600000013,-6.19575,7.6531816953,6149.97495644,305.474722265,6455.44967871,8.14075082015,-0.0916127414987,0.613592315154,RF16W200r1,RF16W200r1_seg00,0,2379.80705,0.265790716577
RF16W200r1_seg00,chant_sura_2020_rf16_contact_subset,0.205,2793261.09108,1180275.04112,2380.04173934,1.17599999905,-4.33600000013,-6.2448,7.6929447573,6214.04689908,305.637301709,6519.68420079,8.14288134903,-0.0830906260105,0.615722844026,RF16W200r1,RF16W200r1_seg00,0,2379.77594863,0.265790716577
