candidate_id,soil_strength_pa,scarring_drag_coefficient,scarring_layer_density_kgpm3,objective,mean_relative_depth_error,mean_relative_energy_loss_error,mean_relative_post_rebound_energy_error,low_observed_depth_m,low_simulated_depth_m,low_observed_energy_loss_j,low_simulated_energy_loss_j,low_observed_post_rebound_translational_j,low_simulated_post_rebound_translational_j,low_observed_total_translational_energy_loss_j,low_incoming_normal_speed_mps,low_incoming_tangent_speed_mps,low_post_contact_translational_j,low_post_scarring_translational_j,low_scarring_loss_fraction_of_post_contact_energy,low_relative_depth_error,low_relative_energy_loss_error,low_relative_post_rebound_energy_error,moderate_observed_depth_m,moderate_simulated_depth_m,moderate_observed_energy_loss_j,moderate_simulated_energy_loss_j,moderate_observed_post_rebound_translational_j,moderate_simulated_post_rebound_translational_j,moderate_observed_total_translational_energy_loss_j,moderate_incoming_normal_speed_mps,moderate_incoming_tangent_speed_mps,moderate_post_contact_translational_j,moderate_post_scarring_translational_j,moderate_scarring_loss_fraction_of_post_contact_energy,moderate_relative_depth_error,moderate_relative_energy_loss_error,moderate_relative_post_rebound_energy_error,high_observed_depth_m,high_simulated_depth_m,high_observed_energy_loss_j,high_simulated_energy_loss_j,high_observed_post_rebound_translational_j,high_simulated_post_rebound_translational_j,high_observed_total_translational_energy_loss_j,high_incoming_normal_speed_mps,high_incoming_tangent_speed_mps,high_post_contact_translational_j,high_post_scarring_translational_j,high_scarring_loss_fraction_of_post_contact_energy,high_relative_depth_error,high_relative_energy_loss_error,high_relative_post_rebound_energy_error
candidate_001,250000.0,0.005,1600.0,0.2541761991276672,0.31950791077289425,0.17432632933905634,,0.085304410436116,0.1125598443942729,1.5996717100420443,1.3510995720057737,,44.809056677994235,,3.0,0.75,46.16015625000001,44.809056677994235,0.029269822326603877,0.3195079107728942,0.1553894692741284,,0.13853663468514138,0.18280018539889858,13.504835583870411,11.152564616481182,,150.48806038351884,,5.5,1.5,161.64062500000003,150.48806038351884,0.06899604982646647,0.3195079107728943,0.17417990413735057,,0.18695904096033866,0.24669393353768043,50.175482367074366,40.471061659803915,,328.4195633401961,,8.0,2.5,368.89062500000006,328.4195633401961,0.10971019298688849,0.31950791077289425,0.19340961460569006,
candidate_009,500000.0,0.005,1200.0,0.28125000000000006,5.422848883922383e-17,0.625,,0.085304410436116,0.08530441043611599,1.5996717100420443,0.5998768912657666,,45.56027935873424,,3.0,0.75,46.16015625000001,45.56027935873424,0.01299555590793232,1.626854665176715e-16,0.625,,0.13853663468514138,0.13853663468514138,13.504835583870411,5.0643133439514045,,156.57631165604863,,5.5,1.5,161.64062500000003,156.57631165604863,0.031330696376306415,0.0,0.625,,0.18695904096033866,0.18695904096033866,50.175482367074366,18.815805887652893,,350.0748191123471,,8.0,2.5,368.89062500000006,350.0748191123471,0.05100646265448706,0.0,0.6249999999999999,
candidate_003,250000.0,0.01,1200.0,0.2830590786212289,0.31950791077289425,0.23851050599141566,,0.085304410436116,0.1125598443942729,1.5996717100420443,2.026649358008661,,44.133506891991345,,3.0,0.75,46.16015625000001,44.133506891991345,0.043904733489905826,0.3195079107728942,0.2669157960888076,,0.13853663468514138,0.18280018539889858,13.504835583870411,16.728846924721775,,144.9117780752782,,5.5,1.5,161.64062500000003,144.9117780752782,0.10349407473969971,0.3195079107728943,0.23873014379397428,,0.18695904096033866,0.24669393353768043,50.175482367074366,60.706592489705876,,308.1840325102941,,8.0,2.5,368.89062500000006,308.1840325102941,0.16456528948033272,0.31950791077289425,0.20988557809146496,
candidate_022,1000000.0,0.01,1600.0,0.31462351349239204,0.24214171674480098,0.4032123761838921,,0.085304410436116,0.06464865404721175,1.5996717100420443,0.9395178990603965,,45.220638350939616,,3.0,0.75,46.16015625000001,45.220638350939616,0.02035343844964555,0.24214171674480106,0.41268080621635606,,0.13853663468514138,0.10499113613043391,13.504835583870411,8.058530013988058,,153.58209498601198,,5.5,1.5,161.64062500000003,153.58209498601198,0.049854608109737616,0.24214171674480092,0.4032855887847449,,0.18695904096033866,0.1416884578212407,50.175482367074366,30.422863417374245,,338.46776158262577,,8.0,2.5,368.89062500000006,338.46776158262577,0.08247122956126694,0.24214171674480092,0.3936707335505753,
candidate_000,250000.0,0.005,1200.0,0.3470644870770233,0.31950791077289425,0.38074474700429217,,0.085304410436116,0.1125598443942729,1.5996717100420443,1.0133246790043304,,45.14683157099569,,3.0,0.75,46.16015625000001,45.14683157099569,0.021952366744952913,0.3195079107728942,0.36654210195559617,,0.13853663468514138,0.18280018539889858,13.504835583870411,8.364423462360888,,153.2762015376391,,5.5,1.5,161.64062500000003,153.2762015376391,0.051747037369849855,0.3195079107728943,0.38063492810301286,,0.18695904096033866,0.24669393353768043,50.175482367074366,30.353296244852938,,338.5373287551471,,8.0,2.5,368.89062500000006,338.5373287551471,0.08228264474016636,0.31950791077289425,0.3950572109542675,
candidate_026,1000000.0,0.02,2000.0,0.3545640210027619,0.24214171674480098,0.4919690595402697,,0.085304410436116,0.06464865404721175,1.5996717100420443,2.3487947476509916,,43.81136150234901,,3.0,0.75,46.16015625000001,43.81136150234901,0.05088359612411388,0.24214171674480106,0.46829798445911003,,0.13853663468514138,0.10499113613043391,13.504835583870411,20.146325034970143,,141.49429996502988,,5.5,1.5,161.64062500000003,141.49429996502988,0.12463652027434402,0.24214171674480092,0.49178602803813753,,0.18695904096033866,0.1416884578212407,50.175482367074366,76.0571585434356,,292.83346645656445,,8.0,2.5,368.89062500000006,292.83346645656445,0.20617807390316736,0.24214171674480092,0.5158231661235616,
candidate_021,1000000.0,0.01,1200.0,0.38176212117170416,0.24214171674480098,0.5524092821379191,,0.085304410436116,0.06464865404721175,1.5996717100420443,0.7046384242952974,,45.45551782570472,,3.0,0.75,46.16015625000001,45.45551782570472,0.015265078837234164,0.24214171674480106,0.559510604662267,,0.13853663468514138,0.10499113613043391,13.504835583870411,6.043897510491042,,155.59672748950896,,5.5,1.5,161.64062500000003,155.59672748950896,0.0373909560823032,0.24214171674480092,0.5524641915885589,,0.18695904096033866,0.1416884578212407,50.175482367074366,22.817147563030684,,346.0734774369693,,8.0,2.5,368.89062500000006,346.0734774369693,0.06185342217095021,0.24214171674480092,0.5452530501629315,
candidate_020,1000000.0,0.005,2000.0,0.4153314250113601,0.24214171674480098,0.6270077351149325,,0.085304410436116,0.06464865404721175,1.5996717100420443,0.5871986869127479,,45.57295756308726,,3.0,0.75,46.16015625000001,45.57295756308726,0.01272089903102847,0.24214171674480106,0.6329255038852225,,0.13853663468514138,0.10499113613043391,13.504835583870411,5.036581258742536,,156.60404374125753,,5.5,1.5,161.64062500000003,156.60404374125753,0.031159130068586005,0.24214171674480092,0.6270534929904656,,0.18695904096033866,0.1416884578212407,50.175482367074366,19.0142896358589,,349.8763353641411,,8.0,2.5,368.89062500000006,349.8763353641411,0.05154451847579184,0.24214171674480092,0.6210442084691096,
candidate_019,1000000.0,0.005,1600.0,0.4489007288510163,0.24214171674480098,0.701606188091946,,0.085304410436116,0.06464865404721175,1.5996717100420443,0.46975894953019826,,45.69039730046982,,3.0,0.75,46.16015625000001,45.69039730046982,0.010176719224822776,0.24214171674480106,0.7063404031081779,,0.13853663468514138,0.10499113613043391,13.504835583870411,4.029265006994029,,157.61135999300598,,5.5,1.5,161.64062500000003,157.61135999300598,0.024927304054868808,0.24214171674480092,0.7016427943923724,,0.18695904096033866,0.1416884578212407,50.175482367074366,15.211431708687122,,353.6791932913129,,8.0,2.5,368.89062500000006,353.6791932913129,0.04123561478063347,0.24214171674480092,0.6968353667752877,
candidate_016,500000.0,0.02,1600.0,0.45000000000000007,5.422848883922383e-17,1.0,,0.085304410436116,0.08530441043611599,1.5996717100420443,3.1993434200840887,,42.960812829915916,,3.0,0.75,46.16015625000001,42.960812829915916,0.06930963150897237,1.626854665176715e-16,1.0,,0.13853663468514138,0.13853663468514138,13.504835583870411,27.009671167740823,,134.6309538322592,,5.5,1.5,161.64062500000003,134.6309538322592,0.16709704734030087,0.0,1.0,,0.18695904096033866,0.18695904096033866,50.175482367074366,100.35096473414873,,268.53966026585135,,8.0,2.5,368.89062500000006,268.53966026585135,0.27203446749059756,0.0,1.0,
candidate_004,250000.0,0.01,1600.0,0.46883565451994114,0.31950791077289425,0.6513473413218873,,0.085304410436116,0.1125598443942729,1.5996717100420443,2.7021991440115474,,43.45795710598847,,3.0,0.75,46.16015625000001,43.45795710598847,0.058539644653207754,0.3195079107728942,0.6892210614517432,,0.13853663468514138,0.18280018539889858,13.504835583870411,22.305129232962365,,139.3354957670376,,5.5,1.5,161.64062500000003,139.3354957670376,0.13799209965293294,0.3195079107728943,0.6516401917252989,,0.18695904096033866,0.24669393353768043,50.175482367074366,80.94212331960783,,287.94850168039216,,8.0,2.5,368.89062500000006,287.94850168039216,0.21942038597377697,0.31950791077289425,0.6131807707886199,
candidate_018,1000000.0,0.005,1200.0,0.48247003269067235,0.24214171674480098,0.7762046410689596,,0.085304410436116,0.06464865404721175,1.5996717100420443,0.3523192121476487,,45.80783703785236,,3.0,0.75,46.16015625000001,45.80783703785236,0.007632539418617082,0.24214171674480106,0.7797553023311335,,0.13853663468514138,0.10499113613043391,13.504835583870411,3.021948755245521,,158.6186762447545,,5.5,1.5,161.64062500000003,158.6186762447545,0.0186954780411516,0.24214171674480092,0.7762320957942794,,0.18695904096033866,0.1416884578212407,50.175482367074366,11.408573781515342,,357.4820512184846,,8.0,2.5,368.89062500000006,357.4820512184846,0.030926711085475105,0.24214171674480092,0.7726265250814657,
candidate_005,250000.0,0.01,2000.0,0.6546122304186535,0.31950791077289425,1.0641841766523592,,0.085304410436116,0.1125598443942729,1.5996717100420443,3.3777489300144343,,42.78240731998558,,3.0,0.75,46.16015625000001,42.78240731998558,0.0731745558165097,0.3195079107728942,1.111526326814679,,0.13853663468514138,0.18280018539889858,13.504835583870411,27.881411541202954,,133.75921345879703,,5.5,1.5,161.64062500000003,133.75921345879703,0.17249012456616614,0.3195079107728943,1.0645502396566235,,0.18695904096033866,0.24669393353768043,50.175482367074366,101.17765414950979,,267.71297085049025,,8.0,2.5,368.89062500000006,267.71297085049025,0.2742754824672212,0.31950791077289425,1.016475963485775,
candidate_017,500000.0,0.02,2000.0,0.675,5.422848883922383e-17,1.5,,0.085304410436116,0.08530441043611599,1.5996717100420443,3.9991792751051105,,42.1609769748949,,3.0,0.75,46.16015625000001,42.1609769748949,0.08663703938621546,1.626854665176715e-16,1.5,,0.13853663468514138,0.13853663468514138,13.504835583870411,33.76208895967603,,127.87853604032398,,5.5,1.5,161.64062500000003,127.87853604032398,0.20887130917537608,0.0,1.5,,0.18695904096033866,0.18695904096033866,50.175482367074366,125.43870591768592,,243.45191908231416,,8.0,2.5,368.89062500000006,243.45191908231416,0.340043084363247,0.0,1.5000000000000002,
candidate_006,250000.0,0.02,1200.0,0.8403888063173659,0.31950791077289425,1.4770210119828313,,0.085304410436116,0.1125598443942729,1.5996717100420443,4.053298716017322,,42.106857533982684,,3.0,0.75,46.16015625000001,42.106857533982684,0.08780946697981165,0.3195079107728942,1.533831592177615,,0.13853663468514138,0.18280018539889858,13.504835583870411,33.45769384944355,,128.18293115055644,,5.5,1.5,161.64062500000003,128.18293115055644,0.20698814947939942,0.3195079107728943,1.4774602875879488,,0.18695904096033866,0.24669393353768043,50.175482367074366,121.41318497941175,,247.47744002058826,,8.0,2.5,368.89062500000006,247.47744002058826,0.32913057896066544,0.31950791077289425,1.41977115618293,
candidate_007,250000.0,0.02,1600.0,1.2119419581147906,0.31950791077289425,2.3026946826437746,,0.085304410436116,0.1125598443942729,1.5996717100420443,5.404398288023095,,40.75575796197691,,3.0,0.75,46.16015625000001,40.75575796197691,0.11707928930641551,0.3195079107728942,2.3784421229034862,,0.13853663468514138,0.18280018539889858,13.504835583870411,44.61025846592473,,117.03036653407528,,5.5,1.5,161.64062500000003,117.03036653407528,0.2759841993058659,0.3195079107728943,2.303280383450598,,0.18695904096033866,0.24669393353768043,50.175482367074366,161.88424663921566,,207.00637836078434,,8.0,2.5,368.89062500000006,207.00637836078434,0.43884077194755394,0.31950791077289425,2.2263615415772398,
candidate_008,250000.0,0.02,2000.0,1.5834951099122154,0.31950791077289425,3.128368353304719,,0.085304410436116,0.1125598443942729,1.5996717100420443,6.755497860028869,,39.40465838997115,,3.0,0.75,46.16015625000001,39.40465838997115,0.1463491116330194,0.3195079107728942,3.223052653629358,,0.13853663468514138,0.18280018539889858,13.504835583870411,55.76282308240591,,105.87780191759413,,5.5,1.5,161.64062500000003,105.87780191759413,0.3449802491323323,0.3195079107728943,3.129100479313247,,0.18695904096033866,0.24669393353768043,50.175482367074366,202.35530829901958,,166.53531670098042,,8.0,2.5,368.89062500000006,166.53531670098042,0.5485509649344424,0.31950791077289425,3.03295192697155,
